Product Name,Category,Purchase Date,Quantity,Price,CustomerID,zipcode,discountApplied,Cluster
Camera,Electronics,2023-09-06,3,784.23,6474,27528,False,2
Mystery Novel,Books,2023-05-13,1,562.25,7811,44837,False,0
Lipstick,Beauty & Health,2023-09-27,1,577.66,2140,89136,False,2
Yoga Mat,Sports & Outdoors,2023-06-03,2,664.4,2140,89136,False,2
Dining Table,Home & Living,2023-03-07,2,51.25,2140,89136,False,0
Tennis Racket,Sports & Outdoors,2022-12-27,1,486.31,9040,62598,False,0
Smartwatch,Electronics,2023-02-22,5,811.39,9040,62598,True,1
Smartwatch,Electronics,2023-06-04,3,433.04,9040,62598,True,0
Handbag,Fashion,2023-08-06,4,447.3,9040,62598,True,1
Lipstick,Beauty & Health,2022-11-17,5,449.13,9040,62598,True,1
Dining Table,Home & Living,2023-09-04,1,372.06,2483,54141,True,0
Sofa,Home & Living,2023-04-19,5,363.57,6929,84412,True,1
Lipstick,Beauty & Health,2023-05-14,5,465.2,6929,84412,False,1
Shampoo,Beauty & Health,2023-05-11,2,813.13,6929,84412,False,2
Yoga Mat,Sports & Outdoors,2023-01-19,1,690.57,5091,17482,True,2
Nail Polish,Beauty & Health,2023-06-03,4,827.1,5091,17482,True,2
Camera,Electronics,2023-09-22,2,762.62,5007,32120,True,2
Sofa,Home & Living,2023-01-14,4,587.85,5007,32120,True,1
Cookware,Home & Living,2023-02-18,2,286.86,5007,32120,True,0
Shampoo,Beauty & Health,2023-06-05,3,539.99,5007,32120,False,2
Body Lotion,Beauty & Health,2023-01-14,2,596.61,1141,19839,True,2
Handbag,Fashion,2023-08-21,2,834.0,1141,19839,False,2
Yoga Mat,Sports & Outdoors,2023-06-24,1,64.02,1141,19839,True,0
Basketball,Sports & Outdoors,2023-02-02,1,169.02,7321,17103,True,0
Smartwatch,Electronics,2023-10-07,2,246.19,7321,17103,True,0
Perfume,Beauty & Health,2023-05-05,3,260.65,7321,17103,True,0
Smartwatch,Electronics,2022-11-12,1,783.79,7321,17103,True,2
Sunglasses,Fashion,2022-12-20,4,397.8,7321,17103,True,1
Biography,Books,2022-12-26,3,117.51,6642,4130,True,0
Sofa,Home & Living,2023-08-28,3,661.8,6642,4130,False,2
History,Books,2023-01-11,1,901.22,5093,98693,True,2
Dining Table,Home & Living,2023-10-17,1,802.49,1397,69696,False,2
Science Fiction,Books,2023-05-21,5,218.66,1397,69696,False,1
Romance Novel,Books,2023-10-11,5,592.13,1397,69696,True,1
Sunglasses,Fashion,2023-01-17,1,925.16,6429,73644,True,2
Romance Novel,Books,2023-05-17,4,164.91,6429,73644,False,1
History,Books,2023-09-30,1,741.26,6429,73644,False,2
Cycling Helmet,Sports & Outdoors,2023-10-07,3,387.17,7169,50627,False,0
Tennis Racket,Sports & Outdoors,2023-04-08,4,837.97,7169,50627,False,2
Dining Table,Home & Living,2023-09-15,2,249.13,7169,50627,True,0
Shampoo,Beauty & Health,2023-01-11,2,794.55,7169,50627,True,2
Mystery Novel,Books,2023-03-17,4,372.68,6511,22082,True,1
Laptop,Electronics,2023-05-02,1,656.53,6511,22082,True,2
Lipstick,Beauty & Health,2023-05-30,4,226.28,6511,22082,True,1
Camera,Electronics,2023-10-27,5,868.58,3559,95751,False,1
Mystery Novel,Books,2023-09-11,3,893.25,6885,22457,False,2
Perfume,Beauty & Health,2023-04-28,3,198.08,6885,22457,True,0
Smartwatch,Electronics,2023-08-09,4,473.34,6885,22457,True,1
Biography,Books,2023-05-18,1,827.36,3385,42671,False,2
Camping Tent,Sports & Outdoors,2022-12-05,4,990.45,3385,42671,False,2
Cookware,Home & Living,2023-07-17,1,329.77,3385,42671,True,0
Dress,Fashion,2023-01-31,2,783.8,3385,42671,True,2
Tennis Racket,Sports & Outdoors,2023-02-13,1,685.76,2885,96439,False,2
Cycling Helmet,Sports & Outdoors,2023-02-22,1,876.74,2885,96439,False,2
Yoga Mat,Sports & Outdoors,2023-09-21,5,873.09,2885,96439,True,1
Shoes,Fashion,2023-03-23,5,279.84,3807,40360,True,1
Tennis Racket,Sports & Outdoors,2023-07-15,4,954.25,3807,40360,False,2
Shirt,Fashion,2023-05-12,2,713.18,3807,40360,False,2
Shoes,Fashion,2023-04-30,4,537.42,3807,40360,False,1
Sunglasses,Fashion,2022-12-11,5,843.32,6248,21328,True,1
Dress,Fashion,2022-11-03,5,453.3,6248,21328,True,1
Biography,Books,2023-03-16,2,306.43,6248,21328,True,0
Cycling Helmet,Sports & Outdoors,2023-01-17,1,873.28,9274,61044,True,2
Nail Polish,Beauty & Health,2023-06-21,5,719.74,9274,61044,False,1
Yoga Mat,Sports & Outdoors,2023-06-21,4,21.23,9274,61044,True,1
Shampoo,Beauty & Health,2023-03-25,4,818.95,9274,61044,False,2
Dining Table,Home & Living,2023-09-28,1,291.6,9274,61044,False,0
Lipstick,Beauty & Health,2022-11-19,1,116.57,9562,69254,False,0
Sunglasses,Fashion,2023-01-03,2,302.01,9562,69254,False,0
Biography,Books,2022-12-28,3,451.91,9562,69254,False,0
Shirt,Fashion,2023-04-23,4,600.35,6817,47778,False,1
Laptop,Electronics,2023-10-25,1,103.5,6817,47778,False,0
Laptop,Electronics,2022-12-25,2,364.14,6817,47778,True,0
Dress,Fashion,2023-07-17,2,93.94,6817,47778,True,0
Perfume,Beauty & Health,2023-06-17,1,323.86,9771,90229,False,0
History,Books,2023-08-29,1,793.49,9771,90229,False,2
Dining Table,Home & Living,2023-01-01,4,760.39,9771,90229,False,1
Nail Polish,Beauty & Health,2023-07-22,5,529.94,8545,85502,False,1
Body Lotion,Beauty & Health,2022-12-24,4,792.84,8545,85502,False,2
Sofa,Home & Living,2023-09-03,2,101.84,8545,85502,False,0
Camping Tent,Sports & Outdoors,2023-06-24,1,812.98,8545,85502,True,2
Camera,Electronics,2023-04-30,1,495.09,5301,3146,False,0
Shoes,Fashion,2023-04-02,3,661.09,5301,3146,True,2
Yoga Mat,Sports & Outdoors,2023-09-29,5,548.58,5301,3146,True,1
Dress,Fashion,2023-07-07,4,74.34,5301,3146,False,1
Shampoo,Beauty & Health,2023-04-18,1,341.84,5301,3146,True,0
Smartphone,Electronics,2023-04-11,5,143.98,9925,40346,True,1
Mystery Novel,Books,2023-02-09,2,973.72,9925,40346,False,2
Headphones,Electronics,2023-04-11,3,315.77,2220,85338,True,0
Bed,Home & Living,2023-03-22,4,533.69,2220,85338,True,1
Dress,Fashion,2023-07-20,3,102.75,2220,85338,True,0
Romance Novel,Books,2022-12-14,3,504.58,2220,85338,False,0
Headphones,Electronics,2023-09-09,5,479.64,2220,85338,True,1
Bed,Home & Living,2023-05-16,2,762.58,5153,42846,True,2
Shirt,Fashion,2023-04-13,1,13.38,1541,98672,True,0
Camping Tent,Sports & Outdoors,2023-07-23,3,579.73,1541,98672,True,2
Dress,Fashion,2023-02-27,5,268.37,5577,28971,True,1
Biography,Books,2023-02-25,4,832.68,5577,28971,False,2
Lamp,Home & Living,2023-02-23,5,919.56,5577,28971,False,1
Laptop,Electronics,2023-04-29,4,246.28,5577,28971,False,1
Tennis Racket,Sports & Outdoors,2023-09-20,2,52.81,8031,59735,True,0
Shoes,Fashion,2023-08-07,2,187.02,4390,10380,True,0
History,Books,2022-12-24,1,492.28,2602,37138,False,0
Mystery Novel,Books,2023-04-27,2,905.27,1717,27622,True,2
Nail Polish,Beauty & Health,2022-11-12,3,909.88,1717,27622,False,2
Smartphone,Electronics,2023-08-02,2,715.75,9134,46625,False,2
Sunglasses,Fashion,2023-03-27,2,768.21,9450,51181,False,2
Dining Table,Home & Living,2023-01-03,1,732.56,9450,51181,True,2
Sunglasses,Fashion,2023-01-05,1,882.13,9450,51181,False,2
Shampoo,Beauty & Health,2023-01-29,1,726.45,9450,51181,True,2
Yoga Mat,Sports & Outdoors,2023-03-30,3,932.27,9450,51181,True,2
Dress,Fashion,2023-01-08,2,61.58,6790,57875,False,0
Dress,Fashion,2023-06-19,1,933.91,6790,57875,True,2
Yoga Mat,Sports & Outdoors,2023-08-06,3,791.05,6790,57875,True,2
Romance Novel,Books,2023-09-09,1,688.95,6790,57875,False,2
History,Books,2023-02-01,1,530.57,6790,57875,True,0
History,Books,2022-12-17,5,586.46,3287,21334,True,1
Laptop,Electronics,2023-01-30,3,221.61,3287,21334,True,0
Shirt,Fashion,2023-04-12,3,635.22,3247,20827,True,2
Biography,Books,2023-02-25,4,281.58,3247,20827,True,1
Smartphone,Electronics,2022-12-21,4,402.35,3247,20827,False,1
Yoga Mat,Sports & Outdoors,2023-05-23,4,744.2,1971,34300,True,1
Tennis Racket,Sports & Outdoors,2023-01-30,1,469.13,1971,34300,False,0
Shoes,Fashion,2023-04-08,3,655.97,5971,39562,True,2
Romance Novel,Books,2022-11-01,4,751.0,5971,39562,True,1
Dress,Fashion,2023-05-21,4,537.86,6182,5944,True,1
Body Lotion,Beauty & Health,2023-06-11,3,533.69,6182,5944,True,2
Lamp,Home & Living,2023-01-11,5,944.52,8449,71598,False,1
Basketball,Sports & Outdoors,2023-08-16,2,888.29,8449,71598,False,2
Cookware,Home & Living,2023-07-15,4,964.33,8122,16367,False,2
Shampoo,Beauty & Health,2023-03-08,5,900.25,1352,8431,True,1
Body Lotion,Beauty & Health,2023-10-04,5,646.83,1352,8431,True,1
Sunglasses,Fashion,2023-09-15,3,816.11,1352,8431,True,2
Basketball,Sports & Outdoors,2023-10-10,5,426.96,1352,8431,False,1
Dress,Fashion,2023-10-14,1,281.9,5082,42404,True,0
Cookware,Home & Living,2022-11-04,1,175.4,5082,42404,False,0
Bed,Home & Living,2023-05-31,1,580.47,5082,42404,True,2
Body Lotion,Beauty & Health,2023-02-19,5,127.86,5082,42404,True,1
Dining Table,Home & Living,2022-12-15,5,854.67,6406,67139,True,1
Laptop,Electronics,2023-01-08,5,174.28,2922,88264,False,1
Biography,Books,2022-12-24,4,728.07,2928,90214,False,1
Bed,Home & Living,2022-12-07,4,49.64,2928,90214,False,1
Laptop,Electronics,2023-08-03,5,566.05,2928,90214,False,1
Cycling Helmet,Sports & Outdoors,2023-06-30,2,513.27,2928,90214,True,0
Headphones,Electronics,2023-07-19,5,291.31,2928,90214,True,1
Shampoo,Beauty & Health,2023-05-12,4,408.97,7411,72928,False,1
History,Books,2023-06-29,1,969.73,7411,72928,False,2
Yoga Mat,Sports & Outdoors,2023-07-11,1,865.51,7411,72928,True,2
Laptop,Electronics,2023-03-14,1,465.02,7411,72928,True,0
Basketball,Sports & Outdoors,2023-09-08,4,587.62,7411,72928,False,1
Sofa,Home & Living,2023-02-22,5,120.26,8834,21981,True,1
Headphones,Electronics,2023-02-15,5,250.83,8834,21981,True,1
Lamp,Home & Living,2023-06-26,5,432.39,8834,21981,False,1
Body Lotion,Beauty & Health,2023-03-13,4,430.08,8834,21981,False,1
Science Fiction,Books,2023-05-21,4,612.81,7732,47209,True,1
Dress,Fashion,2023-05-13,3,637.59,7732,47209,True,2
Dining Table,Home & Living,2023-06-05,4,962.81,7732,47209,True,2
Camera,Electronics,2023-07-06,3,526.84,5153,87110,True,2
Dress,Fashion,2023-04-05,1,131.07,5153,87110,True,0
Cookware,Home & Living,2022-11-20,3,847.6,5153,87110,False,2
Nail Polish,Beauty & Health,2022-11-24,4,504.92,5153,87110,False,1
Smartwatch,Electronics,2023-03-14,1,22.71,5153,87110,False,0
Perfume,Beauty & Health,2023-02-19,4,889.61,7110,9389,True,2
Biography,Books,2023-05-18,5,460.94,7110,9389,False,1
Shirt,Fashion,2023-09-20,3,924.63,5510,66212,False,2
Dress,Fashion,2022-12-03,4,935.89,5510,66212,True,2
Cookware,Home & Living,2022-12-05,5,576.2,5510,66212,False,1
Tennis Racket,Sports & Outdoors,2023-08-28,3,524.39,5510,66212,False,2
Romance Novel,Books,2023-10-02,3,184.35,1399,12227,True,0
Biography,Books,2023-06-09,5,585.27,1399,12227,True,1
Cycling Helmet,Sports & Outdoors,2023-10-22,5,616.0,9102,17406,False,1
Shampoo,Beauty & Health,2023-07-04,1,659.37,9102,17406,True,2
Sofa,Home & Living,2022-11-01,2,524.06,9102,17406,True,0
Laptop,Electronics,2022-12-01,5,10.56,9102,17406,False,1
Romance Novel,Books,2022-11-29,5,855.46,7306,4104,True,1
Headphones,Electronics,2023-01-24,2,966.64,4239,32374,False,2
Smartwatch,Electronics,2023-07-25,3,313.28,4240,49388,True,0
Cycling Helmet,Sports & Outdoors,2023-06-25,5,589.49,4240,49388,False,1
Cookware,Home & Living,2023-08-30,2,120.47,4240,49388,True,0
Nail Polish,Beauty & Health,2023-01-14,2,880.7,5122,33455,True,2
Shirt,Fashion,2022-11-19,2,235.57,5122,33455,True,0
Smartphone,Electronics,2023-10-04,1,479.17,7526,82698,True,0
Shampoo,Beauty & Health,2022-10-30,4,577.34,7526,82698,True,1
Sunglasses,Fashion,2023-10-22,1,434.91,7526,82698,True,0
Body Lotion,Beauty & Health,2023-04-12,2,281.02,7526,82698,False,0
Sunglasses,Fashion,2023-05-13,1,420.6,7526,82698,True,0
Shirt,Fashion,2022-11-17,4,908.05,1407,21980,True,2
Bed,Home & Living,2023-07-08,2,966.98,1407,21980,False,2
Lipstick,Beauty & Health,2022-12-10,4,619.1,1851,15678,False,1
Sofa,Home & Living,2023-03-28,1,283.33,1851,15678,False,0
Handbag,Fashion,2022-11-03,3,766.03,1851,15678,True,2
Body Lotion,Beauty & Health,2023-04-13,2,714.0,1851,15678,True,2
Headphones,Electronics,2023-05-31,4,455.28,4821,32084,True,1
Yoga Mat,Sports & Outdoors,2023-01-21,1,304.19,4821,32084,True,0
Shoes,Fashion,2023-10-08,5,109.62,4821,32084,False,1
Biography,Books,2023-05-24,2,695.25,4821,32084,True,2
Perfume,Beauty & Health,2023-10-12,4,59.13,9076,34234,False,1
Sunglasses,Fashion,2023-10-18,1,123.41,1510,56350,False,0
Shoes,Fashion,2023-09-15,4,142.32,2039,52942,False,1
Headphones,Electronics,2023-01-29,3,916.45,2039,52942,False,2
Shoes,Fashion,2022-11-15,4,367.69,2039,52942,True,1
Nail Polish,Beauty & Health,2022-12-05,1,741.66,2039,52942,True,2
History,Books,2023-03-28,2,861.74,2039,52942,False,2
Dining Table,Home & Living,2023-03-11,2,482.81,1217,19794,False,0
Handbag,Fashion,2023-01-04,4,644.56,1217,19794,False,1
Mystery Novel,Books,2023-07-13,3,801.38,6800,61899,True,2
Nail Polish,Beauty & Health,2023-02-20,5,455.61,3034,77553,False,1
Smartphone,Electronics,2023-09-29,4,739.58,3034,77553,False,1
History,Books,2023-09-01,2,943.19,3034,77553,True,2
Cycling Helmet,Sports & Outdoors,2023-10-29,4,16.34,3034,77553,True,1
Shirt,Fashion,2023-08-10,4,645.61,4269,99388,True,1
Biography,Books,2023-02-16,4,428.26,4269,99388,True,1
Dress,Fashion,2023-07-12,3,332.75,5375,2775,False,0
Shirt,Fashion,2023-01-31,3,277.61,7321,61508,True,0
Dining Table,Home & Living,2023-08-03,1,327.57,8136,12892,False,0
Tennis Racket,Sports & Outdoors,2023-08-21,4,218.68,8136,12892,True,1
Nail Polish,Beauty & Health,2023-07-11,2,306.21,8136,12892,False,0
Handbag,Fashion,2023-05-04,2,86.21,8136,12892,True,0
Dining Table,Home & Living,2023-09-20,2,392.36,7637,1272,True,0
Headphones,Electronics,2023-02-23,2,290.57,1629,48912,True,0
History,Books,2023-09-01,4,51.18,1629,48912,True,1
Shampoo,Beauty & Health,2023-04-08,3,561.48,1629,48912,True,2
Dress,Fashion,2022-12-27,5,638.82,8994,27825,True,1
History,Books,2023-01-11,5,114.52,8994,27825,False,1
Body Lotion,Beauty & Health,2022-11-01,2,561.21,6232,29434,False,2
Dress,Fashion,2022-11-19,2,777.95,6232,29434,False,2
Perfume,Beauty & Health,2023-06-24,2,57.96,6232,29434,True,0
Body Lotion,Beauty & Health,2023-02-02,4,528.07,6232,29434,True,1
History,Books,2023-04-05,2,468.55,8728,6498,False,0
Nail Polish,Beauty & Health,2023-02-02,1,982.48,8728,6498,False,2
Romance Novel,Books,2022-11-22,5,602.41,5671,2638,True,1
Mystery Novel,Books,2023-08-08,2,907.39,5671,2638,True,2
Camera,Electronics,2022-11-06,2,615.13,9401,5800,False,2
Lipstick,Beauty & Health,2022-11-17,4,374.3,9401,5800,False,1
Smartphone,Electronics,2022-11-23,4,358.52,9401,5800,True,1
Shampoo,Beauty & Health,2023-04-21,5,885.05,9064,97320,False,1
Shirt,Fashion,2023-08-30,3,247.8,9064,97320,False,0
Camping Tent,Sports & Outdoors,2023-03-22,5,403.55,1526,58622,True,1
Lipstick,Beauty & Health,2023-01-10,4,66.61,1526,58622,True,1
Smartphone,Electronics,2022-11-26,2,726.04,1350,78278,True,2
Nail Polish,Beauty & Health,2023-01-18,4,61.53,1350,78278,True,1
Shoes,Fashion,2023-03-06,3,626.3,1350,78278,False,2
Sofa,Home & Living,2022-11-28,1,136.58,1350,78278,True,0
Mystery Novel,Books,2023-02-10,3,652.19,2230,45658,True,2
Romance Novel,Books,2022-11-25,1,932.09,2230,45658,False,2
Dining Table,Home & Living,2023-03-04,1,653.19,2230,45658,False,2
Perfume,Beauty & Health,2023-09-30,4,71.41,2230,45658,False,1
Smartphone,Electronics,2022-12-23,3,526.51,2230,45658,False,2
Headphones,Electronics,2023-09-12,4,43.38,9073,62758,False,1
Perfume,Beauty & Health,2023-08-02,3,341.08,4551,68094,True,0
Lipstick,Beauty & Health,2022-11-15,3,303.79,1015,8114,True,0
Tennis Racket,Sports & Outdoors,2022-12-14,4,495.24,1015,8114,False,1
Camping Tent,Sports & Outdoors,2023-09-06,2,995.48,7632,1363,False,2
Handbag,Fashion,2022-12-13,1,777.82,7632,1363,True,2
Tennis Racket,Sports & Outdoors,2023-10-11,3,507.33,7632,1363,False,0
Lamp,Home & Living,2023-02-25,5,894.09,7632,1363,True,1
Smartwatch,Electronics,2023-07-20,5,37.02,4148,8827,False,1
Shoes,Fashion,2023-07-20,2,847.27,8360,19231,True,2
Laptop,Electronics,2023-04-16,3,302.63,8360,19231,False,0
Biography,Books,2023-01-20,1,272.47,4793,54419,False,0
Cycling Helmet,Sports & Outdoors,2023-08-07,5,791.89,4793,54419,False,1
Cycling Helmet,Sports & Outdoors,2023-01-06,2,453.8,4793,54419,True,0
Shampoo,Beauty & Health,2022-12-05,3,585.94,4793,54419,False,2
Sofa,Home & Living,2023-09-19,3,665.07,2055,49578,False,2
Yoga Mat,Sports & Outdoors,2023-10-10,5,378.19,2055,49578,True,1
Shampoo,Beauty & Health,2022-11-06,3,327.49,2055,49578,True,0
Cycling Helmet,Sports & Outdoors,2022-11-19,3,296.08,2055,49578,True,0
History,Books,2022-12-11,4,471.51,2055,49578,True,1
Nail Polish,Beauty & Health,2023-06-29,4,120.18,9054,31564,True,1
Science Fiction,Books,2023-03-29,5,839.44,9054,31564,False,1
Yoga Mat,Sports & Outdoors,2023-04-17,3,422.56,4141,50413,False,0
Nail Polish,Beauty & Health,2022-11-23,5,120.06,4141,50413,True,1
Tennis Racket,Sports & Outdoors,2023-01-05,2,481.71,4141,50413,True,0
Dress,Fashion,2023-01-07,5,674.25,7011,34272,True,1
Romance Novel,Books,2022-12-22,4,129.03,7011,34272,True,1
Cycling Helmet,Sports & Outdoors,2023-01-05,4,35.61,7011,34272,False,1
Sofa,Home & Living,2023-07-12,3,919.97,7011,34272,True,2
Romance Novel,Books,2023-09-04,4,917.8,1481,27703,True,2
Lamp,Home & Living,2023-01-01,3,902.11,1481,27703,False,2
Sunglasses,Fashion,2023-04-19,3,783.11,5433,61346,False,2
Sunglasses,Fashion,2023-10-01,1,963.23,5433,61346,True,2
History,Books,2022-11-14,1,793.37,5433,61346,True,2
Camping Tent,Sports & Outdoors,2023-07-13,4,381.91,4513,79609,True,1
Shampoo,Beauty & Health,2023-07-26,2,689.0,3464,90759,False,2
Smartphone,Electronics,2022-12-16,1,58.67,4313,31883,True,0
Camping Tent,Sports & Outdoors,2022-10-30,4,489.34,4313,31883,True,1
Body Lotion,Beauty & Health,2023-08-01,3,399.54,8399,40932,True,0
Romance Novel,Books,2023-06-28,2,400.47,8399,40932,False,0
Romance Novel,Books,2023-09-22,2,928.27,8399,40932,False,2
Perfume,Beauty & Health,2023-03-02,5,855.69,8399,40932,False,1
Shirt,Fashion,2023-03-15,5,823.66,6765,62192,False,1
Basketball,Sports & Outdoors,2023-09-01,1,752.77,6765,62192,False,2
Smartphone,Electronics,2023-01-23,2,839.09,6765,62192,False,2
Laptop,Electronics,2023-10-04,1,337.52,5070,24930,True,0
Camera,Electronics,2023-09-17,2,998.78,5070,24930,False,2
Bed,Home & Living,2023-03-03,2,892.84,5070,24930,False,2
Lipstick,Beauty & Health,2023-06-18,3,195.19,5070,24930,True,0
Shoes,Fashion,2023-06-04,5,162.13,8302,53761,True,1
Nail Polish,Beauty & Health,2023-09-21,5,679.52,8302,53761,False,1
Science Fiction,Books,2023-04-08,4,314.04,8302,53761,False,1
Mystery Novel,Books,2022-12-22,3,413.08,8302,53761,False,0
Laptop,Electronics,2023-10-10,3,79.43,9382,5190,True,0
Body Lotion,Beauty & Health,2023-05-06,1,61.42,9382,5190,True,0
Dining Table,Home & Living,2023-04-05,3,637.63,9382,5190,True,2
Body Lotion,Beauty & Health,2022-12-31,2,244.78,9382,5190,False,0
Handbag,Fashion,2023-10-05,5,876.36,4652,53731,False,1
Body Lotion,Beauty & Health,2022-12-18,4,32.34,4652,53731,False,1
Biography,Books,2023-05-24,2,152.44,4652,53731,True,0
Camera,Electronics,2022-11-13,3,689.31,4652,53731,False,2
Basketball,Sports & Outdoors,2023-10-21,4,739.04,4652,53731,False,1
Body Lotion,Beauty & Health,2023-04-26,4,542.38,4552,53676,True,1
Handbag,Fashion,2023-06-04,4,201.38,5402,51901,False,1
Sofa,Home & Living,2023-09-02,2,548.02,4244,24688,False,2
Shoes,Fashion,2023-02-04,4,250.39,4244,24688,False,1
Basketball,Sports & Outdoors,2022-11-29,5,314.29,2314,16799,True,1
Smartwatch,Electronics,2023-06-15,4,311.59,2314,16799,True,1
Headphones,Electronics,2023-05-18,2,99.77,2314,16799,True,0
Handbag,Fashion,2023-09-25,2,849.09,8486,63036,True,2
Dining Table,Home & Living,2023-03-04,5,317.87,8486,63036,True,1
History,Books,2023-08-24,2,269.43,8486,63036,True,0
Basketball,Sports & Outdoors,2022-11-12,3,929.06,8486,63036,True,2
Science Fiction,Books,2022-12-14,3,867.29,8486,63036,False,2
Basketball,Sports & Outdoors,2023-03-10,3,566.46,8334,98455,False,2
Dining Table,Home & Living,2022-12-25,2,144.79,2875,23171,False,0
Smartphone,Electronics,2023-05-02,5,215.24,2875,23171,True,1
Cookware,Home & Living,2023-01-21,1,453.34,2875,23171,True,0
Laptop,Electronics,2023-09-29,5,948.36,7322,36577,False,1
Camping Tent,Sports & Outdoors,2023-05-05,5,842.64,7322,36577,True,1
Smartphone,Electronics,2023-07-09,4,751.71,7322,36577,True,1
Smartwatch,Electronics,2023-10-25,3,844.86,7322,36577,True,2
Nail Polish,Beauty & Health,2023-08-03,5,617.63,7964,83230,True,1
Camera,Electronics,2023-06-26,5,949.99,7964,83230,True,1
Mystery Novel,Books,2023-05-15,4,820.99,7964,83230,True,2
Science Fiction,Books,2023-05-04,1,65.85,4404,42767,False,0
Biography,Books,2023-09-20,2,900.84,4404,42767,True,2
Yoga Mat,Sports & Outdoors,2023-09-05,1,170.32,6985,28038,False,0
Nail Polish,Beauty & Health,2023-04-20,1,772.25,6985,28038,True,2
Handbag,Fashion,2023-10-03,4,355.23,6985,28038,False,1
Dining Table,Home & Living,2023-03-25,5,80.75,6985,28038,False,1
Sunglasses,Fashion,2023-06-29,3,720.29,6985,28038,False,2
Science Fiction,Books,2022-11-20,4,587.69,9060,54448,False,1
Dining Table,Home & Living,2023-04-22,4,379.02,9060,54448,True,1
Yoga Mat,Sports & Outdoors,2023-08-31,3,875.58,9060,54448,True,2
Shoes,Fashion,2023-01-01,4,750.68,9060,54448,False,1
